ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
14567444 -115.425 32.749 11.09 1.3 -115.420 32.743 0.130 14.423
14567452 -115.424 32.749 10.80 1.7 -115.420 32.744 0.130 14.507
14567964 -115.406 32.745 11.31 1.2 -115.411 32.751 0.142 15.736
14568588 -115.419 32.750 11.12 1.6 -115.416 32.747 0.135 15.001
14568620 -115.418 32.749 11.23 2.5 -115.416 32.747 0.135 15.013
14568628 -115.418 32.749 11.02 2.1 -115.416 32.747 0.135 15.013
14568652 -115.418 32.748 11.04 1.9 -115.417 32.746 0.134 14.941
14568788 -115.419 32.751 11.05 1.7 -115.416 32.747 0.136 15.074
14568796 -115.420 32.751 11.07 1.3 -115.416 32.747 0.135 14.990
14568956 -115.417 32.740 11.24 2.0 -115.420 32.743 0.130 14.446
14569884 -115.407 32.746 11.26 1.9 -115.411 32.751 0.141 15.724
10526349 -115.406 32.744 11.53 1.2 -115.412 32.751 0.141 15.664
25221759 -115.406 32.745 11.31 1.6 -115.411 32.751 0.142 15.736
10529021 -115.406 32.745 11.54 1.8 -115.411 32.751 0.142 15.736
10529965 -115.406 32.746 11.14 1.6 -115.411 32.751 0.142 15.808
10529989 -115.408 32.747 10.88 1.2 -115.411 32.751 0.141 15.712
10530325 -115.407 32.746 11.42 1.6 -115.411 32.751 0.141 15.724
10530501 -115.407 32.747 10.90 1.6 -115.411 32.751 0.142 15.796
10530637 -115.408 32.747 11.07 1.7 -115.411 32.751 0.141 15.712
10530957 -115.408 32.748 11.12 1.8 -115.411 32.751 0.142 15.785
10535613 -115.409 32.749 11.29 3.3 -115.411 32.751 0.142 15.773
10535621 -115.409 32.749 11.26 1.3 -115.411 32.751 0.142 15.773
10536037 -115.405 32.743 11.25 2.6 -115.412 32.751 0.141 15.675
10536109 -115.408 32.749 11.45 2.1 -115.410 32.752 0.143 15.857
10536253 -115.411 32.751 11.13 2.1 -115.411 32.751 0.142 15.749
10536389 -115.406 32.746 11.16 1.8 -115.411 32.751 0.142 15.808
10536405 -115.411 32.752 10.98 2.2 -115.411 32.752 0.142 15.821
10536429 -115.411 32.752 10.94 1.7 -115.411 32.752 0.142 15.821
10536549 -115.410 32.752 10.92 1.4 -115.410 32.752 0.143 15.906
10536581 -115.410 32.751 10.96 1.9 -115.411 32.752 0.142 15.833
10536629 -115.407 32.747 10.60 3.1 -115.411 32.751 0.142 15.796
10536637 -115.407 32.747 11.16 2.4 -115.411 32.751 0.142 15.796
10536645 -115.411 32.752 10.96 2.8 -115.411 32.752 0.142 15.821
14584764 -115.409 32.749 11.14 1.9 -115.411 32.751 0.142 15.773
14584772 -115.408 32.748 11.21 1.8 -115.411 32.751 0.142 15.785
14587500 -115.404 32.745 10.63 1.9 -115.410 32.752 0.143 15.905
10545293 -115.408 32.748 10.72 1.5 -115.411 32.751 0.142 15.785
10545301 -115.407 32.747 10.82 1.4 -115.411 32.751 0.142 15.796
10545853 -115.418 32.748 9.50 1.9 -115.417 32.746 0.134 14.941
14595860 -115.426 32.758 10.86 1.4 -115.416 32.747 0.135 14.990
14731460 -115.439 32.725 9.81 1.1 -115.440 32.726 0.103 11.503
10759445 -115.425 32.759 11.04 1.2 -115.415 32.748 0.136 15.147
10783421 -115.426 32.760 11.04 1.5 -115.415 32.748 0.136 15.135
10792741 -115.408 32.750 10.96 0.8 -115.410 32.752 0.143 15.929
10792901 -115.407 32.749 10.90 1.4 -115.410 32.752 0.143 15.941
10792957 -115.407 32.749 10.89 1.1 -115.410 32.752 0.143 15.941
14988132 -115.423 32.750 10.32 1.9 -115.418 32.745 0.132 14.664
15062452 -115.423 32.748 10.96 2.2 -115.419 32.744 0.131 14.519
15062460 -115.423 32.749 11.01 1.8 -115.419 32.744 0.131 14.592
15062468 -115.424 32.750 11.04 1.6 -115.419 32.744 0.131 14.580
15062476 -115.423 32.748 11.02 1.8 -115.419 32.744 0.131 14.519
15080060 -115.424 32.756 10.88 1.2 -115.416 32.747 0.135 15.014
11047117 -115.419 32.742 10.62 1.9 -115.420 32.743 0.130 14.422
15148961 -115.428 32.759 9.02 1.6 -115.417 32.746 0.134 14.894
15177905 -115.428 32.752 9.17 1.8 -115.420 32.743 0.129 14.387
15193057 -115.429 32.758 9.95 1.7 -115.418 32.745 0.133 14.737
15193065 -115.428 32.758 10.21 1.8 -115.417 32.746 0.133 14.822
15193777 -115.424 32.745 9.09 1.4 -115.422 32.742 0.128 14.217
15222697 -115.428 32.759 9.82 1.5 -115.417 32.746 0.134 14.894
15235545 -115.426 32.753 10.69 2.6 -115.419 32.745 0.132 14.628
15236865 -115.427 32.755 10.66 1.8 -115.418 32.745 0.132 14.689
15241745 -115.424 32.752 10.18 1.8 -115.418 32.745 0.132 14.724
15241761 -115.424 32.751 10.34 1.8 -115.419 32.745 0.132 14.652
11207626 -115.417 32.739 10.56 1.6 -115.420 32.743 0.129 14.373
15253849 -115.410 32.732 10.94 1.8 -115.420 32.744 0.130 14.457
15256737 -115.429 32.751 8.55 1.9 -115.421 32.742 0.128 14.230
15268753 -115.422 32.748 10.26 1.5 -115.419 32.744 0.131 14.603
11246698 -115.421 32.753 10.98 1.8 -115.416 32.747 0.135 15.050
15333881 -115.438 32.730 7.85 1.3 -115.437 32.729 0.107 11.950
11325978 -115.425 32.750 11.00 1.5 -115.420 32.744 0.130 14.495
11329850 -115.425 32.751 10.88 1.8 -115.419 32.744 0.131 14.568
11331186 -115.424 32.750 10.79 1.6 -115.419 32.744 0.131 14.580
15394937 -115.424 32.750 10.96 1.9 -115.419 32.744 0.131 14.580
11367610 -115.420 32.756 10.51 1.7 -115.414 32.749 0.138 15.352
15468017 -115.425 32.757 10.69 1.7 -115.416 32.747 0.135 15.002
15480209 -115.421 32.745 10.92 1.6 -115.420 32.744 0.130 14.471
15485129 -115.424 32.749 11.12 1.6 -115.420 32.744 0.130 14.507
37268952 -115.429 32.757 10.63 1.4 -115.418 32.745 0.132 14.665
37047935 -115.413 32.731 11.00 1.8 -115.422 32.742 0.127 14.131
37063031 -115.427 32.753 10.87 1.3 -115.419 32.744 0.131 14.544
37299000 -115.420 32.751 11.02 1.7 -115.416 32.747 0.135 14.990
37306760 -115.424 32.751 10.24 1.9 -115.419 32.745 0.132 14.652
37317856 -115.424 32.748 11.15 1.5 -115.420 32.743 0.130 14.435
37348368 -115.428 32.759 10.07 1.7 -115.417 32.746 0.134 14.894
37165583 -115.421 32.745 11.06 1.6 -115.420 32.744 0.130 14.471
37212095 -115.460 32.714 7.23 2.0 -115.458 32.711 0.080 8.935
37212135 -115.460 32.714 7.29 1.6 -115.458 32.711 0.080 8.935
37212975 -115.425 32.751 10.94 1.8 -115.419 32.744 0.131 14.568
37251919 -115.418 32.742 10.21 1.6 -115.420 32.744 0.130 14.506
37506280 -115.425 32.750 11.08 2.3 -115.420 32.744 0.130 14.495
37323791 -115.425 32.751 10.72 1.4 -115.419 32.744 0.131 14.568
37549576 -115.423 32.755 10.86 1.7 -115.416 32.747 0.135 15.026
37550712 -115.430 32.757 10.81 2.4 -115.419 32.744 0.131 14.580
37338487 -115.417 32.740 11.19 1.3 -115.420 32.743 0.130 14.446
37566080 -115.425 32.750 11.02 1.5 -115.420 32.744 0.130 14.495
37411023 -115.451 32.705 9.19 1.7 -115.457 32.712 0.081 9.042
37411855 -115.419 32.731 11.04 1.4 -115.426 32.739 0.123 13.625
37474463 -115.410 32.732 11.00 1.5 -115.420 32.744 0.130 14.457
37517799 -115.425 32.753 10.17 1.6 -115.418 32.745 0.132 14.713
37747904 -115.427 32.761 10.63 1.3 -115.415 32.747 0.136 15.123
37748800 -115.425 32.757 10.66 1.6 -115.416 32.747 0.135 15.002
37748808 -115.424 32.757 10.59 1.5 -115.416 32.747 0.136 15.087
37748976 -115.425 32.758 10.47 2.4 -115.416 32.747 0.136 15.075
37748984 -115.423 32.755 10.74 2.3 -115.416 32.747 0.135 15.026
37749016 -115.422 32.754 10.77 2.0 -115.416 32.747 0.135 15.038
37749048 -115.421 32.752 10.64 1.8 -115.416 32.747 0.135 14.978
37749912 -115.421 32.751 10.99 2.2 -115.417 32.746 0.134 14.905
37749920 -115.422 32.755 11.20 3.4 -115.415 32.747 0.136 15.111
37386117 -115.421 32.751 11.14 1.7 -115.417 32.746 0.134 14.905
37749952 -115.421 32.752 11.09 1.8 -115.416 32.747 0.135 14.978
37749960 -115.420 32.750 11.16 1.7 -115.417 32.746 0.134 14.917
37749976 -115.421 32.751 10.97 2.0 -115.417 32.746 0.134 14.905
37749984 -115.421 32.750 10.99 1.3 -115.417 32.746 0.133 14.833
37750000 -115.421 32.750 11.03 1.8 -115.417 32.746 0.133 14.833
37750040 -115.421 32.751 11.05 2.3 -115.417 32.746 0.134 14.905
37750152 -115.420 32.749 11.11 1.5 -115.417 32.746 0.134 14.845
37541703 -115.419 32.743 10.16 2.2 -115.420 32.744 0.130 14.494
37568631 -115.435 32.753 9.34 1.3 -115.424 32.740 0.125 13.869
37606719 -115.411 32.754 10.26 1.8 -115.410 32.752 0.144 15.966
37606903 -115.410 32.753 10.21 1.2 -115.410 32.752 0.144 15.978
37924296 -115.423 32.748 10.94 2.2 -115.419 32.744 0.131 14.519
37924304 -115.423 32.748 10.91 1.8 -115.419 32.744 0.131 14.519
37983104 -115.423 32.750 10.23 1.4 -115.418 32.745 0.132 14.664
37983112 -115.423 32.751 10.27 1.8 -115.418 32.745 0.133 14.736
37753535 -115.421 32.745 10.92 1.5 -115.420 32.744 0.130 14.471
37163868 -115.421 32.746 10.88 1.4 -115.419 32.744 0.131 14.543
37753551 -115.422 32.746 10.92 1.8 -115.420 32.744 0.130 14.459
37753559 -115.422 32.747 10.87 1.7 -115.419 32.744 0.131 14.531
37753567 -115.421 32.746 11.04 1.8 -115.419 32.744 0.131 14.543
37754327 -115.425 32.758 10.91 1.3 -115.416 32.747 0.136 15.075
37758351 -115.433 32.717 10.26 1.7 -115.441 32.726 0.103 11.430
