ID lon[deg] lat[deg] depth[km] mag[ML] lon_proj[deg] lat_proj[deg] dist_proj[deg] dist_km_proj[deg]
14567444 -115.425 32.749 11.09 1.3 -115.427 32.748 0.213 23.709
14567452 -115.424 32.749 10.80 1.7 -115.427 32.747 0.214 23.771
14568588 -115.419 32.750 11.12 1.6 -115.426 32.746 0.216 23.983
14568620 -115.418 32.749 11.23 2.5 -115.425 32.744 0.217 24.137
14568628 -115.418 32.749 11.02 2.1 -115.425 32.744 0.217 24.137
14568652 -115.418 32.748 11.04 1.9 -115.425 32.744 0.218 24.230
14568788 -115.419 32.751 11.05 1.7 -115.426 32.746 0.215 23.890
14568796 -115.420 32.751 11.07 1.3 -115.427 32.747 0.214 23.829
14568956 -115.417 32.740 11.24 2.0 -115.421 32.738 0.225 25.034
10532613 -115.452 32.789 9.25 0.8 -115.454 32.788 0.165 18.344
10532605 -115.452 32.788 9.12 1.7 -115.453 32.787 0.166 18.436
14581836 -115.453 32.790 8.66 2.2 -115.454 32.789 0.164 18.190
10544317 -115.445 32.784 9.98 1.8 -115.449 32.781 0.173 19.236
10144162 -115.446 32.785 9.91 1.7 -115.450 32.782 0.172 19.082
10545853 -115.418 32.748 9.50 1.9 -115.425 32.744 0.218 24.230
10546117 -115.446 32.785 10.44 1.2 -115.450 32.782 0.172 19.082
14595860 -115.426 32.758 10.86 1.4 -115.432 32.754 0.205 22.812
14604068 -115.453 32.789 8.80 1.7 -115.454 32.788 0.164 18.282
14606740 -115.441 32.779 9.31 1.4 -115.446 32.776 0.179 19.945
14606756 -115.440 32.778 9.63 1.4 -115.445 32.775 0.181 20.099
14606812 -115.439 32.777 9.56 1.5 -115.444 32.774 0.182 20.253
10666589 -115.432 32.761 10.49 1.5 -115.435 32.759 0.199 22.167
14774644 -115.435 32.766 9.73 1.7 -115.438 32.764 0.194 21.519
10759445 -115.425 32.759 11.04 1.2 -115.432 32.755 0.205 22.781
10783421 -115.426 32.760 11.04 1.5 -115.432 32.756 0.203 22.627
10785429 -115.466 32.816 9.27 1.9 -115.470 32.813 0.135 14.980
10785453 -115.466 32.817 9.19 1.3 -115.471 32.814 0.134 14.887
10785581 -115.469 32.821 9.00 2.0 -115.474 32.818 0.129 14.332
10788421 -115.467 32.818 9.28 2.0 -115.472 32.815 0.132 14.733
14856212 -115.461 32.803 9.19 2.2 -115.463 32.802 0.148 16.493
14856596 -115.459 32.806 9.35 1.5 -115.464 32.803 0.147 16.337
14860852 -115.454 32.799 9.15 1.9 -115.459 32.796 0.156 17.292
14860860 -115.454 32.799 9.04 1.7 -115.459 32.796 0.156 17.292
14860868 -115.453 32.798 9.10 1.2 -115.458 32.795 0.157 17.447
14860876 -115.452 32.798 9.21 1.4 -115.458 32.794 0.157 17.508
14860924 -115.454 32.799 6.27 1.8 -115.459 32.796 0.156 17.292
14860932 -115.453 32.798 9.23 1.9 -115.458 32.795 0.157 17.447
14860948 -115.452 32.797 9.15 1.8 -115.457 32.793 0.158 17.601
14860956 -115.453 32.799 9.07 2.7 -115.459 32.795 0.156 17.354
14860972 -115.454 32.799 9.07 2.5 -115.459 32.796 0.156 17.292
14860980 -115.455 32.800 8.95 1.4 -115.460 32.797 0.154 17.138
14860988 -115.452 32.797 8.97 1.6 -115.457 32.793 0.158 17.601
14861004 -115.455 32.801 8.94 1.2 -115.460 32.798 0.153 17.046
14861012 -115.455 32.801 9.09 1.6 -115.460 32.798 0.153 17.046
14861036 -115.452 32.796 8.96 1.7 -115.457 32.793 0.159 17.693
14861060 -115.452 32.796 8.93 1.9 -115.457 32.793 0.159 17.693
14861100 -115.449 32.792 9.20 1.6 -115.454 32.789 0.164 18.248
14861108 -115.450 32.794 9.17 1.8 -115.455 32.790 0.162 18.001
14861172 -115.447 32.790 9.11 1.7 -115.453 32.786 0.167 18.556
14861420 -115.446 32.788 9.03 1.8 -115.451 32.784 0.169 18.803
14861428 -115.446 32.789 8.97 2.0 -115.452 32.785 0.168 18.710
14861612 -115.447 32.791 9.41 1.4 -115.453 32.787 0.166 18.463
14861620 -115.445 32.786 9.01 1.7 -115.450 32.783 0.171 19.050
14861628 -115.445 32.787 9.13 1.9 -115.451 32.783 0.170 18.957
14861668 -115.446 32.790 9.53 1.3 -115.452 32.786 0.167 18.618
14861732 -115.444 32.784 9.21 1.1 -115.449 32.781 0.174 19.297
14861836 -115.443 32.785 9.60 1.2 -115.449 32.781 0.173 19.265
14861852 -115.443 32.785 9.47 1.5 -115.449 32.781 0.173 19.265
10835221 -115.468 32.814 9.73 1.1 -115.470 32.813 0.135 15.043
10876253 -115.436 32.773 9.48 1.3 -115.441 32.769 0.187 20.808
10876269 -115.438 32.776 9.23 2.1 -115.443 32.772 0.184 20.407
10876277 -115.438 32.776 9.39 1.3 -115.443 32.772 0.184 20.407
14932228 -115.406 32.729 10.83 1.3 -115.412 32.725 0.240 26.729
10906285 -115.437 32.768 8.94 1.1 -115.439 32.766 0.191 21.211
10907717 -115.465 32.807 9.17 1.6 -115.466 32.806 0.143 15.877
10913469 -115.438 32.768 10.16 1.6 -115.440 32.767 0.190 21.150
14962428 -115.439 32.777 9.75 1.7 -115.444 32.774 0.182 20.253
14962652 -115.439 32.776 9.67 1.6 -115.444 32.773 0.183 20.346
14988132 -115.423 32.750 10.32 1.9 -115.427 32.747 0.213 23.739
14988292 -115.402 32.707 11.60 1.6 -115.401 32.708 0.261 29.017
14993068 -115.443 32.774 9.46 2.0 -115.444 32.773 0.182 20.287
15001668 -115.465 32.809 9.05 1.4 -115.467 32.808 0.141 15.691
15001716 -115.465 32.808 9.19 1.9 -115.466 32.807 0.142 15.784
15001812 -115.464 32.807 9.29 1.8 -115.466 32.806 0.143 15.938
10961133 -115.435 32.766 9.49 1.8 -115.438 32.764 0.194 21.519
10961717 -115.440 32.778 9.34 2.5 -115.445 32.775 0.181 20.099
10961725 -115.439 32.777 9.46 1.7 -115.444 32.774 0.182 20.253
10961813 -115.440 32.777 9.17 1.4 -115.445 32.774 0.182 20.192
15009188 -115.469 32.814 9.30 1.8 -115.470 32.813 0.135 14.982
15009444 -115.468 32.813 9.32 2.0 -115.470 32.812 0.136 15.136
15009452 -115.468 32.813 9.27 1.9 -115.470 32.812 0.136 15.136
15017612 -115.462 32.811 8.80 2.2 -115.467 32.808 0.141 15.689
15017620 -115.461 32.808 8.78 1.9 -115.465 32.805 0.144 16.029
15017636 -115.464 32.813 9.34 3.0 -115.468 32.810 0.138 15.381
15017652 -115.464 32.814 8.97 1.6 -115.469 32.811 0.137 15.288
15017660 -115.460 32.808 9.03 1.8 -115.465 32.805 0.145 16.090
15017668 -115.464 32.815 8.94 1.9 -115.469 32.812 0.137 15.195
15017676 -115.459 32.806 8.99 1.8 -115.464 32.803 0.147 16.337
