evid lon[deg] lat[deg] depth[km] mag[ML]
14567444 -115.425 32.749 11.09 1.3
14567452 -115.424 32.749 10.80 1.7
14567964 -115.406 32.745 11.31 1.2
14568588 -115.419 32.750 11.12 1.6
14568620 -115.418 32.749 11.23 2.5
14568628 -115.418 32.749 11.02 2.1
14568652 -115.418 32.748 11.04 1.9
14568788 -115.419 32.751 11.05 1.7
14568796 -115.420 32.751 11.07 1.3
14568956 -115.417 32.740 11.24 2.0
14569884 -115.407 32.746 11.26 1.9
14571820 -115.622 32.754 12.71 2.2
10526349 -115.406 32.744 11.53 1.2
25221759 -115.406 32.745 11.31 1.6
10529021 -115.406 32.745 11.54 1.8
10529965 -115.406 32.746 11.14 1.6
10529989 -115.408 32.747 10.88 1.2
10530325 -115.407 32.746 11.42 1.6
10530501 -115.407 32.747 10.90 1.6
10530637 -115.408 32.747 11.07 1.7
10530957 -115.408 32.748 11.12 1.8
10532613 -115.452 32.789 9.25 0.8
10532605 -115.452 32.788 9.12 1.7
14581836 -115.453 32.790 8.66 2.2
10535613 -115.409 32.749 11.29 3.3
10535621 -115.409 32.749 11.26 1.3
10536037 -115.405 32.743 11.25 2.6
10536109 -115.408 32.749 11.45 2.1
10536253 -115.411 32.751 11.13 2.1
10536389 -115.406 32.746 11.16 1.8
10536405 -115.411 32.752 10.98 2.2
10536429 -115.411 32.752 10.94 1.7
10536549 -115.410 32.752 10.92 1.4
10536581 -115.410 32.751 10.96 1.9
10536629 -115.407 32.747 10.60 3.1
10536637 -115.407 32.747 11.16 2.4
10536645 -115.411 32.752 10.96 2.8
14584764 -115.409 32.749 11.14 1.9
14584772 -115.408 32.748 11.21 1.8
14585900 -115.623 32.758 12.35 2.5
26965759 -115.622 32.754 12.59 2.4
14585932 -115.622 32.754 12.60 2.0
14585940 -115.623 32.755 12.57 2.0
14585956 -115.624 32.759 12.44 1.5
14585996 -115.624 32.758 12.29 1.7
14586028 -115.624 32.759 12.50 1.5
14586036 -115.623 32.758 12.36 3.1
14586052 -115.624 32.760 12.39 1.5
14586060 -115.624 32.758 12.14 2.0
14586068 -115.624 32.759 12.17 1.5
14586252 -115.624 32.759 12.41 1.8
14586316 -115.624 32.758 12.32 1.8
14586340 -115.624 32.758 12.23 1.7
14586572 -115.625 32.759 12.13 1.7
14587140 -115.624 32.758 12.34 1.9
14587444 -115.624 32.760 12.38 1.8
14587468 -115.624 32.759 12.18 2.0
14587500 -115.404 32.745 10.63 1.9
10540949 -115.625 32.760 12.22 1.7
10541005 -115.625 32.761 12.26 1.9
10541037 -115.625 32.761 12.21 1.5
10541221 -115.625 32.760 12.12 1.7
10541373 -115.625 32.761 12.17 1.9
